"","word","freq"
"menang","menang",405
"jokowi","jokowi",234
"presiden","presiden",216
"dki","dki",135
"gubernur","gubernur",135
"kota","kota",135
"solo","solo",135
"wali","wali",135
"republik","republik",134
"indonesi","indonesi",133
"pemerintahan","pemerintahan",101
"pembangunan","pembangunan",92
"upaya","upaya",46
"salah","salah",32
"tol","tol",32
"pengembangan","pengembangan",31
"jalan","jalan",31
"kedepanprogram","kedepanprogram",30
"langkah","langkah",30
"masuk","masuk",30
"kalo","kalo",25
"digenjot","digenjot",24
"kesejahteraan","kesejahteraan",24
"tingkat","tingkat",24
"menaikan","menaikan",23
"joko","joko",22
"ketemu","ketemu",22
"kirakira","kirakira",22
"richbrian","richbrian",22
"setahun","setahun",22
"usul","usul",22
"misi","misi",21
"plbn","plbn",21
"widodo","widodo",21
"kinerja","kinerja",21
"wilayah","wilayah",20
"menegakkan","menegakkan",18
"perbatasan","perbatasan",16
"gugat","gugat",15
"mkuf","mkuf",15
"setujusilahkan","setujusilahkan",15
"masif","masif",15
"pemerintahan<U+00A0>presiden","pemerintahan<U+00A0>presiden",15
"keda","keda",12
"indonesia","indonesia",11
"desa","desa",7
"periode","periode",7
"festivalcrossborderdisota","festivalcrossborderdisota",7
"dukung","dukung",7
"rakyat","rakyat",7
"terpilih","terpilih",6
"selamat","selamat",6
"pencapaian","pencapaian",5
"melanjutkan","melanjutkan",5
"menteri","menteri",5
"pemerintah","pemerintah",4
"mendorong","mendorong",4
"negara","negara",4
"infrastruktur","infrastruktur",4
"jokowiamin","jokowiamin",4
"bumn","bumn",4
"saudi","saudi",4
"emang","emang",4
"kesuksesan","kesuksesan",4
"pamer","pamer",4
"susi","susi",4
"prestasi","prestasi",4
"semoga","semoga",4
"gabung","gabung",4
"wakil","wakil",4
"ganti","ganti",4
"kepemimpinan","kepemimpinan",3
"sbg","sbg",3
"diharapkan","diharapkan",3
"perangkat","perangkat",3
"tppkeckrembung","tppkeckrembung",3
"berjanji","berjanji",3
"jusuf","jusuf",3
"wapres","wapres",3
